Marke,Model,Year,Mileage,City,State,Price
INFINITI,QX60FWD,2017,6342,Augusta, GA,41995
Honda,Accord,2015,39410,Eatontown, NJ,16900
Volkswagen,Golf,2015,38861,St. Augustine, FL,17281
Nissan,Rogue,2014,34785,Duluth, GA,12490
GMC,Yukon2WD,2015,44701,Maitland, FL,38900
Toyota,Corolla4dr,2005,85686,Colchester, CT,6695
Nissan,Xterra4WD,2007,127450,SAN JOSE, CA,8981
Toyota,Corolla4dr,2011,52411,Manchester, CT,10995
Honda,Accord,2008,150973,Florence, KY,8488
Jeep,Commander4WD,2009,162231,Escondido, CA,7799
Jeep,Wrangler,2013,58049,Camp Verde, AZ,28988
Chevrolet,Spark1LT,2015,9349,Concord, NH,13987
Buick,VeranoSport,2016,4180,Dover, DE,18088
Jeep,CherokeeLatitude,2014,52078,TREVOSE, PA,16698
Cadillac,ATS2.5L,2014,31094,West Palm Beach, FL,21500
Dodge,ChargerSE,2017,6539,Greenville, TX,22992
Kia,OptimaEX,2015,23854,Las Vegas, NV,17797
Toyota,CorollaS,2015,22336,Round Rock, TX,15499
Ram,15004WD,2012,101156,Fort Smith, AR,14959
Toyota,RAV44X2,2014,35455,Fayetteville, AR,17295
Mercedes-Benz,E-Class4dr,2008,95609,Lincolnton, NC,12888
Dodge,DurangoAWD,2016,39307,Canfield, OH,27989
Nissan,Frontier2WD,2009,144325,Round Rock, TX,11900
Hyundai,Sonata4dr,2012,110842,Henrico, VA,8812
Ford,F-1504WD,2011,157813,Lafayette, LA,19495
Toyota,Prius5dr,2011,98216,Virginia Beach, VA,9720
Ford,EdgeLimited,2013,75376,Richardson, TX,16561
Dodge,DurangoSXT,2014,41081,Quarryville, PA,26495
Acura,TSX4dr,2009,125998,Saint Louis Park, MN,8848
Chevrolet,Uplander4dr,2006,198349,Fishers, IN,2600
Ram,"1500Express,",2014,44421,Culpeper, VA,25000
Honda,CR-VEX,2013,51319,Hemet, CA,17977
Hyundai,AzeraLimited,2014,33446,Anchorage, AK,18863
Chevrolet,Silverado,2013,97384,Hamilton, TX,31990
Nissan,Altima2.5,2015,42526,Charlotte, NC,15917
Nissan,MuranoAWD,2009,165704,Ballwin, MO,6993
Chevrolet,Monte,2006,122000,Sioux Falls, SD,9851
Lincoln,ContinentalSelect,2017,21857,Saint Louis, MO,42000
Chevrolet,SonicHatch,2016,29835,Sanford, FL,8985
Kia,Optima4dr,2012,110900,Hawthorne, CA,9990
Chevrolet,EquinoxFWD,2016,68070,San Jose, CA,15888
Dodge,Grand,2014,53280,Kissimmee, FL,16845
Ford,Transit,2016,9306,Davie, FL,17670
Ford,ExplorerFWD,2012,88515,Greenville, TX,16991
Chevrolet,ImpalaLT,2012,70656,Fairfield, OH,11795
BMW,3,2017,4735,Charlotte, NC,36991
Kia,OptimaEX,2014,28911,MONTCLAIR, CA,14500
Jeep,Wrangler,2013,42702,Watertown, CT,26000
Ford,FusionSE,2016,13811,Plainfield, IL,19522
Kia,SorentoLX,2013,39878,Philadelphia, PA,14480
Buick,RegalGS,2012,76664,St. Louis, MO,15991
Ram,15004WD,2011,55191,St Louis, MO,22960
Nissan,Altima2.5,2014,57428,Salt Lake City, UT,11998
Ram,15004WD,2013,138000,Greenville, MI,26900
Cadillac,XTSLuxury,2013,68766,Venice, FL,22088
Cadillac,SRXLuxury,2015,15959,Knoxville, TN,32999
Chevrolet,Cruze2LT,2015,14032,Fort Payne, AL,14995
Subaru,Legacy2.5i,2017,6482,Forest City, NC,22500
Nissan,AltimaSedan,2013,54459,Bedford, TX,13999
Jeep,Grand,2014,35872,Sodus, NY,20995
Nissan,Rogue,2014,38005,Union City, GA,13500
Kia,SportageLX,2014,61900,Stonewall, LA,14968
Ram,"1500SLT,",2016,26675,Georgetown, TX,32613
Ford,F-1504WD,2015,42520,Scottsboro, AL,36527
Nissan,AltimaSedan,2013,60425,Haverhill, MA,13999
Hyundai,Sonata2.4L,2016,37664,Valencia, CA,13848
INFINITI,G37,2011,74649,Arlington Heights, IL,15499
Volkswagen,Passat4dr,2015,33811,Lyndhurst, NJ,17995
Saturn,VUE4dr,2006,146588,Boise, ID,4988
Cadillac,CTS,2014,21318,Oakfield, NY,22896
Dodge,JourneyFWD,2016,55631,Chesapeake, VA,21569
Chevrolet,Tahoe2WD,2015,38892,Corpus Christi, TX,40997
Ford,FusionSE,2014,32166,Stroudsburg, PA,16437
Honda,Accord,2008,131138,Columbus, OH,7695
GMC,Sierra,2004,194955,Post Falls, ID,11999
Nissan,Versa1.6,2013,39896,Springfield, NJ,9995
BMW,3,2014,9947,Fishers, IN,35850
Dodge,Charger4dr,2006,81830,Fredericksburg, VA,14995
BMW,X5xDrive35d,2015,49951,San Antonio, TX,40983
Toyota,CamrySE,2014,40290,Corpus Christi, TX,16421
MINI,Cooper,2012,71514,Monroe, NC,13588
Chevrolet,Silverado,2015,30640,Lubbock, TX,33900
Jaguar,XFXF,2013,32821,Knoxville, TN,26987
Ram,ProMaster,2017,55599,Minneola, FL,20995
Volkswagen,Passat4dr,2013,27146,Waterloo, NY,11993
Dodge,Ram,2010,152006,Heber Springs, AR,18000
Chrysler,3004dr,2007,82966,Virden, IL,9998
BMW,3,2010,70192,Chantilly, VA,17995
Volvo,XC60AWD,2016,34409,Crystal Lake, IL,34500
Mercedes-Benz,SLS,2011,10096,Sarasota, FL,185000
Audi,Q73.0T,2014,50363,Broken Arrow, OK,37000
Chevrolet,TraverseAWD,2017,25679,Santa Rosa, CA,26500
Ford,ExplorerXLT,2015,42458,Athens, AL,29990
Ram,25004WD,2012,59010,Florissant, MO,29057
Kia,SportageAWD,2017,34421,Tampa, FL,18231
Ford,FusionSE,2013,99731,Indianapolis, IN,12990
Jeep,PatriotSport,2016,8100,MADISON, WI,16997
Chevrolet,Express,2012,79073,Manassas, VA,15295
Ford,F-1504WD,2010,97255,Englewood, CO,18988
Mercedes-Benz,M-ClassML350,2015,30056,Burlington, NJ,34822
Ford,F-1502WD,2015,11824,Corpus Christi, TX,31720
Honda,Accord,2007,104297,Merritt Island, FL,7595
Honda,Civic,2015,36286,Webster, TX,15225
Buick,EnclaveAWD,2010,114551,Chantilly, VA,13595
Ford,MustangFastback,2016,3608,Goldsboro, NC,20826
Chevrolet,EquinoxFWD,2014,20555,Sanford, FL,15995
GMC,Sierra,2014,41316,Biloxi, MS,32990
GMC,Sierra,2016,18358,Lakewood, NJ,32592
Chevrolet,Malibu,2016,22225,Fort Lauderdale, FL,13895
Hyundai,Elantra4dr,2016,50011,Rosenberg, TX,13988
GMC,AcadiaFWD,2015,41059,Carmel, IN,23990
Volkswagen,Passat4dr,2012,62460,Jacksonville, FL,10988
Ford,F-1504WD,2016,31182,Waldorf, MD,30998
Jeep,Wrangler,2016,8170,Red Bank, NJ,32995
Toyota,Tundra,2013,60132,Moss Point, MS,30990
Honda,Accord,2016,13910,Orlando, FL,18998
Chevrolet,Silverado,2016,22421,Grapevine, TX,35500
Nissan,Altima2.5,2016,36575,Victorville, CA,14225
Nissan,Xterra4WD,2012,57456,Greeley, CO,20825
Jeep,Grand,2015,39894,Millsboro, DE,30995
Honda,OdysseySE,2016,27940,GILBERT, AZ,27991
Ford,Super,2015,55444,Muskogee, OK,52760
Chevrolet,Silverado,2008,85206,Gainesville, GA,19245
Chrysler,PT,2006,22000,Ottawa Lake, MI,7950
Mitsubishi,LancerTC-SST,2012,69560,Killeen, TX,14777
Toyota,CamryXLE,2015,43734,Reno, NV,14999
Cadillac,Escalade2WD,2010,99470,Sacramento, CA,17980
Honda,Civic,2016,10543,Renton, WA,19454
Chevrolet,EquinoxAWD,2016,31493,Tinley Park, IL,23681
Honda,Civic,2012,69238,Chapel Hill, NC,12500
Buick,EnclaveFWD,2011,77166,Doral, FL,12495
Lexus,CT,2015,52417,Tifton, GA,19991
Ford,FiestaSedan,2014,62688,Houston, TX,7477
Jeep,Liberty4WD,2009,72241,Tenafly, NJ,15750
Toyota,86Manual,2017,6345,Marshall, TX,22898
Honda,Accord,2011,99472,Wilmington, NC,10995
Ford,F-1504WD,2015,22227,Fairfax, VA,32980
Nissan,Titan4WD,2012,62772,Fairbanks, AK,26194
Jeep,WranglerRubicon,2014,37397,North Huntingdon, PA,28785
Chevrolet,CruzeSedan,2012,69243,Mcminnville, OR,8995
GMC,AcadiaAWD,2014,28387,Souderton, PA,23895
Chevrolet,SonicSedan,2013,62029,Seattle, WA,9000
Volkswagen,New,2004,123248,Cincinnati, OH,5000
Chevrolet,CruzeSedan,2017,2586,Davis, CA,19991
Chevrolet,Express,2012,72265,Minnetonka, MN,17926
Toyota,CorollaECO,2014,61693,Chandler, AZ,13896
Saab,9-34dr,2006,131907,Honolulu, HI,2999
Jeep,Grand,2017,18677,Edinburg, TX,35995
INFINITI,QX602WD,2014,52582,Daphne, AL,27545
Toyota,PriusTwo,2016,29034,Chicago, IL,17995
INFINITI,QX70V6,2015,51840,Grapevine, TX,31875
Chevrolet,Impala4dr,2007,212243,Texarkana, TX,2980
Dodge,JourneyFWD,2012,50888,Shallotte, NC,15000
Acura,MDXAWD,2012,82115,Fairfax, VA,18980
Hyundai,Genesis3.8,2013,33679,Downingtown, PA,18490
Chevrolet,VoltPlug-In,2014,32275,Elk Grove, CA,16988
Chevrolet,CruzeSedan,2017,15808,Sarasota, FL,16025
Audi,Q3quattro,2017,8000,Mechanicsburg, PA,35899
Ford,EscapeTitanium,2014,18991,Saline, MI,18500
Ford,FusionSE,2016,20811,Lexington, KY,14000
Acura,MDXFWD,2014,42068,Albuquerque, NM,28950
Ford,FocusSedan,2015,40164,Sterling Heights, MI,12295
Toyota,Tacoma2WD,2006,14915,Sarasota, FL,17500
Ram,25004WD,2012,51013,Anchorage, AK,45863
INFINITI,QX4Luxury,2001,172394,Springville, UT,4995
Chrysler,200S,2016,5409,Wrightsville, PA,22497
Volvo,XC60T5,2017,26037,Colorado Springs, CO,33091
Toyota,C-HRXLE,2018,766,Bloomfield Hills, MI,23995
Mercedes-Benz,C-Class4dr,2010,89472,Laurel, MD,12999
Jeep,CherokeeFWD,2016,25,Libertyville, IL,21460
Toyota,CorollaLE,2017,10162,Suitland, MD,15000
Nissan,VersaS,2016,5,Evanston, IL,12385
Hyundai,TucsonFWD,2007,106000,Columbus, GA,6684
Ford,ExplorerFWD,2017,15709,Richardson, TX,32888
Chevrolet,Silverado,2015,39577,Highland, IN,30500
Dodge,Charger4dr,2012,78488,Phoenix, AZ,18095
Hyundai,Genesis3.8,2014,46580,Roswell, GA,19872
Volkswagen,Jetta,2012,69294,Midlothian, VA,9400
Toyota,"SiennaXLE,",2014,47098,Marlborough, MA,21998
Nissan,PathfinderPlatinum,2014,66718,Brooklyn Center, MN,23996
Honda,Accord,2011,129536,Hampton, VA,11895
Chevrolet,Silverado,2015,13421,Warrensburg, NY,36499
Ford,EdgeSEL,2013,25489,Orlando, FL,19697
Ford,Focus4dr,2011,100334,Horsham, PA,1952
Jeep,PatriotLatitude,2013,72050,Williston, VT,12109
Ford,F-1504WD,2015,27878,Monroeville, PA,32495
Chevrolet,Malibu1LT,2015,56934,Belton, TX,13995
Toyota,Tundra,2013,76242,Johnson City, TN,23250
Ford,Transit,2013,32101,Libertyville, IL,15979
Toyota,CamryL,2014,72357,Doral, FL,10795
Chevrolet,Silverado,2016,64153,El Paso, TX,55993
BMW,X3AWD,2011,44039,Alexandria, VA,21395
Chevrolet,EquinoxAWD,2014,128392,McMinnville, OR,13991
Hyundai,Sonata4dr,2011,83716,Bradenton, FL,9221
Subaru,Baja4dr,2004,114104,Hamilton Square, NJ,11250
Volkswagen,TiguanSport,2017,3722,Littleton, CO,28970
Mercedes-Benz,C-ClassC300,2016,14830,Tallahassee, FL,32036
Kia,SoulAutomatic,2015,21213,Anchorage, AK,19863
Volkswagen,Passat1.8T,2014,32585,Tampa, FL,15911
Ford,Focus4dr,2011,78975,Indianapolis, IN,7895
Dodge,Grand,2016,53945,Oak Park Heights, MN,19845
Toyota,PriusThree,2013,31660,Delaware, OH,17000
Honda,Fit5dr,2008,69260,Prescott, AZ,7995
Mercedes-Benz,E-ClassE,2017,5167,Huntsville, AL,49994
Jeep,CompassLimited,2014,43606,Cleveland, GA,17843
Mercedes-Benz,C-ClassC,2017,7610,Creve Coeur, MO,37766
Nissan,Altima2.5,2015,43491,Odessa, TX,15746
Volkswagen,Jetta,2016,35372,Burlington, NJ,15769
Toyota,"SiennaXLE,",2015,31893,Avenel, NJ,25991
Toyota,Avalon4dr,2008,47209,Virgina Beach, VA,13224
Ram,1500Big,2014,34614,Fort Wayne, IN,31995
Buick,Rendezvous4dr,2006,110347,Cambridge, WI,3995
Volvo,XC60T5,2017,26542,Tampa, FL,33091
Honda,Accord,2014,42390,North Salt Lake, UT,14275
Volkswagen,Beetle,2016,28215,Concord, NC,12985
Dodge,ChallengerSXT,2016,34939,Modesto, CA,20000
Honda,CR-VEX-L,2014,56275,West Springfield, MA,20659
Ford,Super,2006,88023,Chester, VA,13927
Dodge,Dakota4WD,2008,101472,Fredericksburg, VA,11988
Chevrolet,MalibuLT,2017,18547,Roselle, IL,18533
Toyota,AvalonLimited,2015,8979,Arlington Heights, IL,28996
Nissan,Altima4dr,2009,94991,Colorado Springs, CO,10888
Buick,Verano1SD,2015,19875,Lakewood, CO,15643
Honda,Accord,2015,4880,Titusville, FL,17995
Hyundai,EquusSignature,2014,48560,Killeen, TX,25580
GMC,Yukon4WD,2016,2664,Concord, NH,63987
Mercedes-Benz,C-ClassC300,2015,33242,Arlington, TX,30990
Jeep,CherokeeLatitude,2014,28831,Ellington, CT,19283
BMW,7,2013,31877,Plano, TX,29900
Nissan,PathfinderSL,2016,12155,Fairbanks, AK,23194
INFINITI,Q60,2014,36893,Fort Lauderdale, FL,24000
Lincoln,MKX4dr,2012,78187,Inver Grove Heights, MN,18799
Chevrolet,TahoePremier,2017,26676,Victorville, CA,56650
Porsche,BoxsterRoadster,2013,35369,Vallejo, CA,38500
Pontiac,Grand,2007,183959,Spokane Valley, WA,4999
Toyota,HighlanderFWD,2008,82434,Chantilly, VA,13999
Jeep,Wrangler,2016,13741,Butte, MT,34988
Nissan,Altima2.5,2015,72975,Wesley Chapel, FL,10681
Nissan,Altima2dr,2009,94918,Avondale, AZ,7991
Chevrolet,Suburban4WD,2016,19946,Dublin, OH,55980
Lexus,IS,2010,153881,Midway City, CA,10995
Ford,FocusSedan,2013,73948,Orlando, FL,7995
INFINITI,G35,2006,102288,Longmont, CO,9999
BMW,4,2016,14696,Ft. Lauderdale, FL,43500
Pontiac,Solstice2dr,2008,58751,Arlington, TX,10988
Subaru,Legacy4dr,2011,104300,Naugatuck, CT,7595
Hyundai,Genesis4dr,2010,99750,North Hollywood, CA,10819
Cadillac,Escalade4WD,2016,24252,Ballwin, MO,68900
Jeep,CherokeeTrailhawk,2015,41509,Albuquerque, NM,25500
Nissan,Altima4dr,2007,138966,Denton, TX,5933
BMW,3,2014,27717,Gaithersburg, MD,20000
Scion,tCAutomatic,2015,38087,Charleston, SC,12989
Chevrolet,Silverado,2009,42933,Wallingford, CT,22987
Nissan,VersaS,2016,6365,Sacramento, CA,11990
Pontiac,G64dr,2008,140141,Roseville, CA,4999
Toyota,CamryL,2014,41452,Brooklyn Park, MN,14385
Jeep,CompassSport,2016,4954,Gadsden, AL,19181
Ford,F-150XLT,2017,40231,Mesquite, TX,33800
Jeep,Cherokee4WD,2016,26621,Shrewsbury, MA,22373
Volkswagen,Jetta,2014,26489,Delray Beach, FL,13233
Chevrolet,Corvette,2014,6232,Houston, TX,46996
Toyota,Camry4dr,2011,40242,Lakewood, WA,11999
Honda,PilotEX-L,2015,43396,Hillside, NJ,27777
Jeep,RenegadeLatitude,2017,25706,Golden, CO,22599
Volvo,XC60T5,2015,34770,Plano, TX,34995
Chevrolet,Tahoe2WD,2016,20736,Scottsdale, AZ,47000
Toyota,HighlanderAWD,2014,45648,Fairfax, VA,27891
Chevrolet,Silverado,2014,86972,Omaha, NE,29880
Ford,Econoline,2007,141664,Lansing, IL,9388
Jeep,Grand,2017,12069,Hollywood, FL,33989
Jeep,Wrangler4WD,2009,70689,San Juan Capistrano, CA,16100
Ford,Thunderbird2dr,2002,87419,Phoenix, AZ,12490
Cadillac,DTS4dr,2006,67461,Crystal, MN,9900
Mercedes-Benz,E-ClassE350,2015,35485,FREEHOLD, NJ,39900
Ford,Super,2015,2549,Littleton, CO,62598
Ford,FiestaSedan,2013,41106,Irving, TX,8000
Ford,F-150SuperCrew,2013,50029,Littleton, CO,27598
Lincoln,MKCAWD,2015,51188,Chantilly, VA,25694
Toyota,FJ,2007,108947,Auburn Hills, MI,14800
Toyota,CorollaLE,2014,22732,Louisville, KY,13000
Hyundai,VelosterTurbo,2013,73934,Colorado Springs, CO,13415
Hyundai,Santa,2017,350,Lodi, CA,34995
Chevrolet,Malibu4d,2012,23829,Tucson, AZ,12041
Chevrolet,Malibu1LT,2015,26744,Shelby, NC,15995
Chrysler,200Limited,2016,13053,Harvey, LA,15998
GMC,Yukon2WD,2017,24556,McDonough, GA,48995
Nissan,Altima2.5,2016,47800,Clarksville, TN,15384
Volvo,XC60T5,2017,25970,Lakewood, WA,33091
Volkswagen,Jetta,2016,32803,Madison, TN,14895
Lexus,ES,2013,10675,Beaverton, OR,26552
Mercedes-Benz,M-Class4WD,2008,66206,Lyndhurst, NJ,16900
Ford,FocusSedan,2013,36975,Tucson, AZ,10563
Rolls-Royce,Ghost4dr,2012,33000,Tempe, AZ,129999
Pontiac,Firebird2dr,2002,103102,Auburn, WA,5500
Scion,xBManual,2014,28374,Avondale, AZ,12992
Toyota,Corolla4dr,2010,108864,Independence, MO,10195
GMC,Sierra,2016,27304,Quarryville, PA,59651
Ford,F-1504WD,2005,112392,Uniontown, PA,8995
Chevrolet,MalibuLT,2017,32135,Hazelwood, MO,16733
Honda,Civic,2014,30730,Bloomfield Hills, MI,13595
Jeep,Wrangler,2016,25115,Sumner, WA,42916
Mitsubishi,OutlanderES,2016,28411,Phoenix, AZ,16992
Toyota,Camry4dr,2009,107867,Creve Coeur, MO,8000
Ford,Super,2008,156059,Birmingham, AL,16988
Toyota,Camry4dr,2011,64870,Bedford, OH,10500
Nissan,JUKESV,2016,26550,Bend, OR,20991
Mercedes-Benz,CLA-ClassCLA250,2014,24792,Houston, TX,25758
Nissan,Altima2.5,2016,5819,Chesapeake, VA,17482
Toyota,Tundra,2016,26964,Enfield, CT,36525
BMW,5,2014,37900,Plano, TX,29890
Volkswagen,Jetta,2016,12515,Houston, TX,13991
Ford,F-1504WD,2012,118905,Wausau, WI,22987
BMW,3,2017,10989,Cincinnati, OH,43576
Subaru,Outback2.5i,2015,55297,Philadelphia, PA,23480
Ford,ExplorerBase,2014,44131,Weatherford, TX,19991
Volkswagen,Jetta,2006,123723,Jacksonville, FL,5995
Hyundai,Santa,2017,19480,Woburn, MA,19787
Ram,1500Laramie,2013,70706,Roseville, MN,27433
Nissan,RogueS,2016,12177,Batavia, OH,19017
Chevrolet,Cruze1LT,2015,20201,Warner Robins, GA,12986
Hyundai,Santa,2009,90215,Eastpointe, MI,13495
Nissan,Altima4dr,2008,61765,Delran, NJ,8499
Ford,"Expedition119""",1998,124848,Grass Valley, CA,7998
GMC,Yukon4WD,2013,119900,Naugatuck, CT,19495
GMC,Sierra,2016,29678,Corpus Christi, TX,43988
Cadillac,Escalade4WD,2016,23405,Chandler, AZ,58995
Dodge,Grand,2016,43213,Sandy, UT,18400
Chevrolet,Impala4dr,2006,109000,Farmers Branch, TX,5990
Nissan,AltimaSedan,2013,58643,Fairfax, VA,13919
Ford,FocusHatchback,2014,70942,Cocoa, FL,9988
GMC,AcadiaAWD,2012,59200,Westmont, IL,25000
Lincoln,MKS4dr,2010,71004,North Huntingdon, PA,13747
Land,Rover,2016,11702,Warwick, RI,41900
GMC,Sierra,2009,57172,Rifle, CO,28653
Hyundai,SonataSE,2015,13989,Golden Valley, MN,15200
Ford,ExplorerXLT,2014,99557,Moline, IL,17073
Acura,TSX4dr,2010,93967,Clearwater, FL,10980
Ram,1500Express,2017,19641,Lexington, NC,32388
Ford,F-1504WD,2015,40538,El Cajon, CA,33000
Land,Rover,2013,59005,Las Vegas, NV,62991
GMC,Yukon4WD,2015,55518,Bellevue, WA,47766
Chevrolet,Silverado,2003,137835,Pikeville, KY,14999
Jeep,Wrangler,2015,34756,Van Nuys, CA,30988
Ford,F-1504WD,2015,65362,Lincoln, NE,35897
Chevrolet,Suburban4WD,2017,13013,Arcadia, FL,64500
Dodge,JourneyFWD,2012,69871,Anchorage, AK,10750
Ford,FlexLimited,2014,24265,Naperville, IL,30988
Dodge,Grand,2017,34916,Roseville, MN,21777
Chevrolet,EquinoxFWD,2012,61979,Hollywood, FL,13995
GMC,AcadiaFWD,2017,9402,Kernersville, NC,29999
Ford,ExplorerBase,2015,32143,Florissant, MO,23483
Acura,MDXAWD,2014,99751,Danbury, CT,23991
BMW,X3AWD,2009,62915,San Mateo, CA,15888
Ford,F-150SuperCrew,2013,76987,Graham, NC,23995
Chrysler,300300S,2015,39560,Ellicott City, MD,21995
Dodge,Grand,2011,79110,Glendale, AZ,12195
Kia,ForteLX,2015,44272,Omaha, NE,11500
Ford,F-1504WD,2015,52210,Philadelphia, PA,37780
Ford,F-1504WD,2016,36347,Logan, UT,30088
Mercedes-Benz,E-Class4dr,2007,102887,Springfield, VA,19995
INFINITI,QX70V8,2014,28187,Manassas, VA,39898
Chevrolet,Tahoe2WD,2009,63000,Tempe, AZ,20792
Dodge,Grand,2017,18176,Grand Rapids, MI,25995
Nissan,JUKE5dr,2011,71964,Birmingham, AL,8988
Ford,ExplorerLimited,2013,75368,Madison, WI,21949
Cadillac,SRXLuxury,2014,47385,Shelton, CT,26995
Ford,FusionSE,2014,35453,Ephrata, PA,13800
Ram,"1500SLT,",2015,30695,Phoenix, AZ,36995
Nissan,PathfinderSV,2016,28738,Woodbury, NJ,24500
Jaguar,XK2dr,2007,34211,Marietta, GA,22800
Mercedes-Benz,AMG,2016,3844,Carrollton, TX,106850
Hyundai,SonataLimited,2013,35557,Fremont, CA,14988
Toyota,Sienna5dr,2009,95486,Colorado Springs, CO,14999
Lexus,IS,2015,20587,Danvers, MA,31488
Chevrolet,MalibuLT,2017,23484,Vandalia, OH,20099
Chrysler,Town,2016,41776,Thornton, CO,20877
Kia,SorentoLX,2014,43700,Meriden, CT,16000
Chevrolet,MalibuLT,2017,31978,Jersey City, NJ,16733
Chevrolet,Silverado,2017,7804,Baxley, GA,35997
Toyota,AvalonXLE,2013,13871,Cedar Park, TX,21495
Mercedes-Benz,C-ClassC300,2013,75006,Middletown, RI,17900
Nissan,Altima2.5,2015,19039,Norwood, MA,17500
Audi,A3Sedan,2015,69880,Mt Pleasant, WI,17490
Ford,Super,2003,165747,Hackettstown, NJ,5895
Jeep,Grand,2014,50787,Wall, NJ,27995
Dodge,Challenger2dr,2012,58180,Mesa, AZ,18995
BMW,7,2014,53171,Dallas, TX,34879
Mazda,CX-52016.5,2016,15360,ORLANDO, FL,19986
Honda,Accord,2007,108529,Tulsa, OK,5981
Volvo,S80T5,2016,5362,Walnut Creek, CA,36900
Ford,EscapeFWD,2017,32729,Houston, TX,17987
Cadillac,ATS3.6L,2014,15882,Chillicothe, OH,24500
Lexus,IS,2015,38987,Beverly Hills, CA,27995
Jeep,Grand,2014,18528,Cumming, GA,28496
Toyota,HighlanderFWD,2016,25912,Miami Shores, FL,30476
Dodge,JourneySE,2014,36213,Sioux Falls, SD,13495
Honda,Civic,2017,7500,North Richland Hills, TX,18646
Chevrolet,Silverado,2015,37900,Mesquite, TX,29791
Chevrolet,Silverado,2014,30968,Buford, GA,35988
Nissan,VersaS,2016,35511,Hanford, CA,11862
Volkswagen,Passat4dr,2016,35089,Milwaukee, WI,15935
Buick,Lucerne4dr,2007,111720,Springfield, IL,7480
Hyundai,ElantraSE,2016,37771,Parma, OH,13395
Jeep,Grand,2015,30080,Austin, TX,25500
Nissan,Altima2.5,2015,19408,Salisbury, NC,19787
Chevrolet,Silverado,2010,102451,Antioch, IL,20994
Nissan,RogueSV,2017,20554,Olathe, KS,21888
Hyundai,Sonata4dr,2011,91559,Cary, NC,9899
Nissan,Versa1.6,2014,29556,Mesa, AZ,9899
Toyota,CamrySE,2015,23361,Houston, TX,17987
Toyota,"VenzaXLE,",2014,54513,Carson, CA,21995
Jeep,PatriotLatitude,2016,11964,Framingham, MA,18000
INFINITI,JX35JX35,2013,77969,Merriam, KS,24000
Nissan,MaximaPlatinum,2016,21481,Bethesda, MD,29496
Volvo,V705dr,2003,175099,Garner, NC,3500
Dodge,DartSXT,2016,41910,Alhambra, CA,12450
Jaguar,XKR,2015,11824,Warwick, RI,60800
Dodge,Ram,2001,136447,Owasso, OK,4000
Chevrolet,CruzeLT,2016,39554,Vancouver, WA,14734
Ford,F-1504WD,2015,46168,Hendersonville, NC,32999
GMC,Sierra,2013,51705,Iowa City, IA,26594
Nissan,Murano2WD,2015,24108,San Antonio, TX,27170
Honda,CR-V4WD,2011,74406,Swanzey, NH,13488
Ford,EscapeFWD,2015,85279,Kearney, MO,15973
Ram,"1500SLT,",2013,49591,Winnsboro, LA,25560
Ford,Explorer4WD,2012,81125,Chelsea, MA,18987
Hyundai,VelosterManual,2013,41070,Asheville, NC,14220
Volkswagen,Golf,2015,31335,Brookfield, WI,18991
Toyota,AvalonXLE,2014,23710,Houston, TX,24949
Nissan,Altima3.5,2015,23068,Mechanicsburg, PA,18788
Ford,FocusHatchback,2016,32946,Minooka, IL,11408
Ford,Super,2016,56541,Cumming, GA,53366
BMW,X3sDrive28i,2017,9802,Houston, TX,34995
Honda,Civic,2014,13490,Owings Mills, MD,16937
Cadillac,ATS2.5L,2013,34849,Marietta, GA,15949
Ford,F-1502WD,2014,63016,Killeen, TX,21980
Kia,Soul+,2016,37765,Thomasville, GA,16875
Honda,PilotEX,2014,31812,Yorktown Heights, NY,24290
Maserati,GhibliGhibli,2014,17377,Plano, TX,41990
Honda,Accord,2013,49005,St. Peters, MO,15990
Mercedes-Benz,C-ClassC300,2016,10297,Maitland, FL,35548
Honda,Accord,2014,29072,Hyattsville, MD,18950
Chevrolet,CruzeLS,2016,18282,El Paso, TX,14995
Nissan,NVP3500,2013,81495,American Fork, UT,22999
Honda,CR-VEX,2014,22494,Orlando, FL,15999
Jeep,CompassLatitude,2014,47011,West Seneca, NY,13995
Jaguar,XKR,2015,8510,Ventura, CA,62990
Ford,Transit,2014,67447,Charlotte, NC,13999
Chrysler,200Sedan,2013,73121,Sunnyvale, CA,8988
Jeep,Grand,1999,118642,Raleigh, NC,2995
Jeep,Grand,2017,21910,Michigan City, IN,41000
Hyundai,Santa,2017,24438,Omaha, NE,26000
Dodge,ChargerSXT,2016,36484,Metairie, LA,19575
Mazda,Mazda6Touring,2017,5685,El Cajon, CA,23900
Toyota,CamryLE,2013,69589,Hartsville, SC,11480
Dodge,Avenger4dr,2010,102717,Cherry Hill, NJ,4995
GMC,Sierra,2014,43916,Santa Rosa, CA,30999
Jeep,CherokeeLatitude,2015,25470,Miami, FL,14914
Hyundai,SonataSE,2017,42623,Highland, IN,13990
Pontiac,G84dr,2009,49620,Des Moines, IA,16990
Dodge,Grand,2015,126490,Oklahoma City, OK,9995
Dodge,Ram,2009,136903,Castle Rock, CO,29900
Dodge,DartSXT,2014,24346,Portland, OR,13988
Lexus,IS,2010,31123,St Charles, IL,23933
BMW,3,2011,143423,Dallas, TX,9991
Toyota,PriusFive,2015,56151,Morrow, GA,99999
Buick,RegalPremium,2015,36415,Missoula, MT,18551
Jeep,CompassHigh,2016,30755,Hollywood, FL,11450
Chevrolet,CorvetteCoupe,2015,29663,Albuquerque, NM,52995
BMW,3,2015,27748,Saint James, NY,26995
